data_importacao,ano,ipca_acumulado
2025-02-03,1995,55.7
2025-02-03,1996,18.76
2025-02-03,1997,6.2
2025-02-03,1998,1.55
2025-02-03,1999,1.34
2025-02-03,2000,3.12
2025-02-03,2001,4.86
2025-02-03,2002,5.54
2025-02-03,2003,7.31
2025-02-03,2004,6.65
2025-02-03,2005,6.76
2025-02-03,2006,5.48
2025-02-03,2007,5.17
2025-02-03,2008,6.38
2025-02-03,2009,6.35
2025-02-03,2010,7.61
2025-02-03,2011,8.98
2025-02-03,2012,8.73
2025-02-03,2013,8.74
2025-02-03,2014,8.32
2025-02-03,2015,8.09
2025-02-03,2016,6.46
2025-02-03,2017,4.52
2025-02-03,2018,3.34
2025-02-03,2019,3.52
2025-02-03,2020,1.73
2025-02-03,2021,4.74
2025-02-03,2022,7.57
2025-02-03,2023,6.21
2025-02-03,2024,4.73
